Timestamp,Your name,Your gender ,Your age,How important is exercise to you ?,How do you describe your current level of fitness ?,How often do you exercise?,"What barriers, if any, prevent you from exercising more regularly? (Please select all that apply)",What form(s) of exercise do you currently participate in ? (Please select all that apply),Do you exercise ___________ ?,What time if the day do you prefer to exercise?,How long do you spend exercising per day ?,Would you say you eat a healthy balanced diet ?,"What prevents you from eating a healthy balanced diet, If any? (Please select all that apply)",How healthy do you consider yourself?,Have you ever recommended your friends to follow a fitness routine?,Have you ever purchased a fitness equipment?,What motivates you to exercise? (Please select all that applies ),daily_steps
2019/07/07 4:53:30 AM GMT+5:30,Shreya 18,Female,15 to 18,4,Fair,3 to 4 times a week,I'm not interested,Gym;I don't really exercise,Alone,Early morning,I don't really exercise,Not always,Ease of access to fast food,3,No,Yes,I want to lose weight;I want to be fit,10686
2019/07/03 10:47:37 AM GMT+5:30,Ravi 19,Female,36 to 45,2,Fair,3 to 4 times a week,I can't stay motivated;I don't have enough time,Walking or jogging;I don't really exercise,With a group,Evening,I don't really exercise,No,Cost,1,Yes,No,I'm not really interested in exercising,5034
2019/07/08 5:29:56 AM GMT+5:30,Divya 20,Male,19 to 25,1,Fair,3 to 4 times a week,I can't stay motivated,Gym,Alone,Afternoon,More than 1 hour,Not always,Lack of time,1,Yes,No,I want to lose weight;I'm not really interested in exercising,1013
2019/07/03 5:10:8 AM GMT+5:30,Anusha 21,Male,15 to 18,5,Excellent,3 to 4 times a week,I don't have enough time;I'm not interested,Walking or jogging,With a friend,Early morning,30 minutes,Yes,Ease of access to fast food,2,No,Yes,I'm not really interested in exercising;I want to be flexible,9971
2019/07/04 8:27:11 AM GMT+5:30,Lakshmi 22,Male,15 to 18,4,Unfit,1 to 2 times a week,I don't have enough time;I can't stay motivated,Lifting weights,With a group,Early morning,1 hour,Yes,Temptation and cravings,2,Yes,Yes,I want to lose weight;I want to be flexible,8107
2019/07/07 9:56:5 AM GMT+5:30,Priya 23,Female,15 to 18,4,Very good,Everyday,I can't stay motivated,Walking or jogging,With a group,Early morning,More than 1 hour,Not always,Lack of time,1,Yes,No,I want to lose weight,7702
2019/07/03 11:7:37 AM GMT+5:30,Anusha 24,Male,19 to 25,1,Fair,1 to 2 times a week,I'm not interested,Lifting weights,With a group,Early morning,1 hour,No,Lack of time,5,Yes,No,I want to be flexible,5431
2019/07/06 1:32:54 PM GMT+5:30,Nithilaa 25,Female,36 to 45,5,Fair,3 to 4 times a week,I'll become too tired,Walking or jogging,With a friend,Morning,1 hour,Not always,Temptation and cravings,1,No,No,I'm not really interested in exercising,11039
2019/07/04 6:45:47 AM GMT+5:30,Lakshmi 26,Male,19 to 25,3,Fair,3 to 4 times a week,I can't stay motivated,Walking or jogging,With a friend,Early morning,30 minutes,Yes,Lack of time,1,No,Yes,I want to be fit;I want to be flexible,8673
2019/07/03 5:14:55 AM GMT+5:30,Shreya 27,Male,15 to 18,2,Excellent,Everyday,I'll become too tired,Walking or jogging;Gym,With a group,Evening,30 minutes,No,Ease of access to fast food,4,Yes,No,I want to lose weight,6235
2019/07/05 9:31:59 PM GMT+5:30,Lakshmi 28,Female,19 to 25,1,Fair,1 to 2 times a week,I can't stay motivated,I don't really exercise;Gym,I don't really exercise,Afternoon,1 hour,No,Cost,5,No,Yes,I want to lose weight,8073
2019/07/06 8:53:27 PM GMT+5:30,Shreya 29,Female,36 to 45,3,Unfit,1 to 2 times a week,I don't have enough time,Walking or jogging,Alone,Afternoon,I don't really exercise,No,Temptation and cravings,2,Yes,Yes,I want to be flexible,8275
2019/07/07 5:46:54 PM GMT+5:30,Nithilaa 30,Female,19 to 25,2,Good,3 to 4 times a week,I'll become too tired,Lifting weights;Walking or jogging,With a group,Morning,Less than 30 minutes,No,Ease of access to fast food,2,Yes,No,I want to be fit;I want to be flexible,6416
2019/07/06 7:38:36 AM GMT+5:30,Priya 31,Female,26 to 35,3,Very good,Never,I'm not interested;I'll become too tired,I don't really exercise,With a group,Afternoon,I don't really exercise,Yes,Ease of access to fast food,4,Yes,No,I'm not really interested in exercising,6312
2019/07/07 11:3:5 PM GMT+5:30,Parkavi 32,Female,15 to 18,4,Fair,Never,I can't stay motivated;I'm not interested,I don't really exercise,With a friend,Morning,Less than 30 minutes,No,Lack of time,5,Yes,Yes,I want to lose weight;I want to be fit,10650
2019/07/06 9:29:11 PM GMT+5:30,Deepak 33,Female,36 to 45,1,Very good,Everyday,I'll become too tired;I can't stay motivated,Walking or jogging;I don't really exercise,Alone,Early morning,30 minutes,Not always,Cost,5,No,No,I'm not really interested in exercising;I want to lose weight,7824
2019/07/06 5:58:57 PM GMT+5:30,Karunya v 34,Male,36 to 45,1,Excellent,3 to 4 times a week,I'm not interested;I'll become too tired,Gym;Swimming,Alone,Afternoon,More than 1 hour,Yes,Cost,3,Yes,No,I'm not really interested in exercising;I want to lose weight,5577
2019/07/07 5:16:2 PM GMT+5:30,Divya 35,Female,19 to 25,4,Excellent,Everyday,I don't have enough time;I can't stay motivated,Walking or jogging;Lifting weights,I don't really exercise,Afternoon,I don't really exercise,No,Cost,1,No,No,I want to be fit,8125
2019/07/08 3:1:36 PM GMT+5:30,Manish 36,Female,19 to 25,4,Excellent,3 to 4 times a week,I don't have enough time,Walking or jogging,Alone,Early morning,More than 1 hour,Not always,Cost,5,No,Yes,I'm not really interested in exercising;I want to be fit,12548
2019/07/06 4:3:44 PM GMT+5:30,Vivek 37,Female,26 to 35,1,Fair,1 to 2 times a week,I'm not interested,Lifting weights,I don't really exercise,Afternoon,30 minutes,No,Ease of access to fast food,4,No,No,I want to be fit;I want to be flexible,10251
2019/07/07 6:1:15 AM GMT+5:30,Karunya v 38,Male,36 to 45,5,Good,Everyday,I'm not interested;I can't stay motivated,Walking or jogging,With a group,Evening,30 minutes,No,Ease of access to fast food,4,Yes,Yes,I'm not really interested in exercising,11273
2019/07/07 9:26:25 PM GMT+5:30,Meena 39,Male,19 to 25,3,Fair,Everyday,I can't stay motivated,Swimming;Lifting weights,Alone,Morning,1 hour,No,Lack of time,3,No,No,I'm not really interested in exercising;I want to be flexible,8942
2019/07/03 1:34:45 PM GMT+5:30,Shreya 40,Female,19 to 25,4,Fair,3 to 4 times a week,I can't stay motivated;I don't have enough time,Swimming,With a friend,Morning,1 hour,Yes,Lack of time,5,Yes,No,I want to lose weight,11539
2019/07/03 9:23:6 PM GMT+5:30,Rahul 41,Male,36 to 45,5,Good,Everyday,I'm not interested;I'll become too tired,Gym;I don't really exercise,I don't really exercise,Afternoon,1 hour,Not always,Lack of time,1,No,Yes,I'm not really interested in exercising;I want to lose weight,6571
2019/07/06 9:24:19 PM GMT+5:30,Lakshmi 42,Male,26 to 35,2,Very good,Everyday,I'll become too tired,Walking or jogging,Alone,Afternoon,Less than 30 minutes,No,Ease of access to fast food,5,No,Yes,I want to be flexible,9109
2019/07/05 1:4:21 PM GMT+5:30,Priya 43,Male,19 to 25,3,Fair,3 to 4 times a week,I'm not interested,Swimming,I don't really exercise,Morning,More than 1 hour,Not always,Ease of access to fast food,2,Yes,No,I'm not really interested in exercising;I want to be fit,5436
2019/07/04 5:41:2 PM GMT+5:30,Divya 44,Male,19 to 25,1,Fair,Never,I don't have enough time;I'm not interested,Walking or jogging;Gym,I don't really exercise,Evening,Less than 30 minutes,No,Ease of access to fast food,3,Yes,No,I want to lose weight;I'm not really interested in exercising,4222
2019/07/05 1:32:43 PM GMT+5:30,Priya 45,Male,15 to 18,1,Unfit,3 to 4 times a week,I'm not interested,Gym,With a group,Morning,More than 1 hour,Yes,Lack of time,2,No,No,I'm not really interested in exercising;I want to be fit,6772
2019/07/07 6:25:55 AM GMT+5:30,Deepak 46,Female,36 to 45,1,Good,Never,I don't have enough time;I'll become too tired,Walking or jogging;Cycling,I don't really exercise,Morning,I don't really exercise,No,Ease of access to fast food,5,Yes,No,I want to lose weight,7052
2019/07/08 1:36:10 PM GMT+5:30,Anusha 47,Female,36 to 45,3,Unfit,Everyday,I'm not interested,Walking or jogging;Swimming,With a friend,Evening,Less than 30 minutes,Not always,Temptation and cravings,5,Yes,No,I'm not really interested in exercising;I want to be flexible,5828
2019/07/08 2:17:47 PM GMT+5:30,Deepak 48,Female,19 to 25,4,Fair,1 to 2 times a week,I'll become too tired,Gym,With a group,Evening,More than 1 hour,Yes,Ease of access to fast food,4,No,Yes,I want to be fit,7580
2019/07/05 1:59:51 PM GMT+5:30,Arjun 49,Male,19 to 25,5,Very good,3 to 4 times a week,I don't have enough time,I don't really exercise;Gym,Alone,Evening,1 hour,Yes,Temptation and cravings,3,Yes,No,I want to lose weight,8801
2019/07/08 7:58:12 AM GMT+5:30,Karunya v 50,Male,36 to 45,1,Fair,1 to 2 times a week,I'm not interested;I'll become too tired,Swimming,With a group,Afternoon,Less than 30 minutes,Yes,Ease of access to fast food,2,No,No,I want to be flexible,991
2019/07/08 5:29:14 AM GMT+5:30,Lakshmi 51,Female,19 to 25,1,Excellent,1 to 2 times a week,I can't stay motivated,Swimming,With a group,Early morning,1 hour,Not always,Lack of time,3,No,Yes,I want to be flexible,5744
2019/07/03 3:54:28 AM GMT+5:30,Nikkitha 52,Male,19 to 25,5,Unfit,Never,I'm not interested,Walking or jogging;Lifting weights,With a group,Early morning,I don't really exercise,Not always,Lack of time,1,No,Yes,I want to lose weight,10984
2019/07/03 8:12:36 PM GMT+5:30,Nikkitha 53,Male,15 to 18,4,Very good,1 to 2 times a week,I'll become too tired,I don't really exercise;Lifting weights,I don't really exercise,Evening,30 minutes,No,Lack of time,2,Yes,Yes,I'm not really interested in exercising,7454
2019/07/03 6:1:30 AM GMT+5:30,Nikkitha 54,Male,15 to 18,5,Fair,Everyday,I don't have enough time,Swimming,Alone,Evening,More than 1 hour,No,Ease of access to fast food,3,Yes,No,I'm not really interested in exercising,12357
2019/07/06 8:56:49 AM GMT+5:30,Kiran 55,Female,15 to 18,5,Excellent,3 to 4 times a week,I'll become too tired;I'm not interested,Swimming,Alone,Evening,1 hour,Yes,Lack of time,3,Yes,Yes,I want to be flexible;I'm not really interested in exercising,9288
2019/07/03 4:31:0 AM GMT+5:30,Karunya v 56,Female,26 to 35,5,Excellent,Everyday,I'm not interested,I don't really exercise;Lifting weights,Alone,Morning,More than 1 hour,Not always,Ease of access to fast food,1,No,Yes,I want to be flexible,5696
2019/07/04 1:35:14 PM GMT+5:30,Nikkitha 57,Female,19 to 25,1,Unfit,3 to 4 times a week,I'm not interested;I'll become too tired,I don't really exercise,With a group,Morning,More than 1 hour,Yes,Lack of time,2,Yes,Yes,I want to lose weight,5194
2019/07/07 8:41:16 AM GMT+5:30,Manish 58,Male,19 to 25,1,Fair,Everyday,I'm not interested,Cycling;Lifting weights,With a group,Early morning,30 minutes,Yes,Ease of access to fast food,2,No,No,I want to be fit;I want to be flexible,5094
2019/07/08 8:30:53 AM GMT+5:30,Anusha 59,Female,19 to 25,4,Fair,1 to 2 times a week,I'll become too tired,Walking or jogging,With a group,Evening,1 hour,No,Ease of access to fast food,4,Yes,Yes,I want to lose weight;I want to be fit,12212
2019/07/07 9:32:5 AM GMT+5:30,Nikkitha 60,Female,36 to 45,2,Very good,3 to 4 times a week,I can't stay motivated;I don't have enough time,Lifting weights;I don't really exercise,With a group,Early morning,1 hour,No,Lack of time,1,Yes,Yes,I'm not really interested in exercising,4401
2019/07/08 9:19:32 PM GMT+5:30,Vivek 61,Female,15 to 18,1,Very good,Never,I don't have enough time;I'll become too tired,Walking or jogging,I don't really exercise,Morning,I don't really exercise,No,Lack of time,5,No,No,I want to be flexible,10962
2019/07/08 1:4:41 AM GMT+5:30,Anusha 62,Female,15 to 18,4,Fair,3 to 4 times a week,I'm not interested;I'll become too tired,Walking or jogging,I don't really exercise,Early morning,Less than 30 minutes,No,Cost,4,Yes,Yes,I want to be flexible,8898
2019/07/08 10:48:6 PM GMT+5:30,Meena 63,Male,26 to 35,4,Good,1 to 2 times a week,I'll become too tired,Swimming;Walking or jogging,Alone,Afternoon,1 hour,Not always,Cost,3,Yes,Yes,I want to lose weight,6411
2019/07/05 2:21:43 PM GMT+5:30,Anusha 64,Female,26 to 35,2,Good,Everyday,I can't stay motivated;I'll become too tired,I don't really exercise;Gym,With a friend,Afternoon,Less than 30 minutes,Not always,Cost,1,Yes,Yes,I'm not really interested in exercising,3296
2019/07/08 11:2:16 AM GMT+5:30,Rahul 65,Female,19 to 25,3,Fair,1 to 2 times a week,I'm not interested;I'll become too tired,I don't really exercise,With a group,Evening,I don't really exercise,Yes,Ease of access to fast food,5,Yes,Yes,I want to be fit;I'm not really interested in exercising,10509
2019/07/07 3:2:51 PM GMT+5:30,Sneha 66,Male,36 to 45,2,Very good,Never,I don't have enough time;I can't stay motivated,Gym,With a friend,Early morning,1 hour,Yes,Temptation and cravings,2,No,No,I want to be flexible,4903
2019/07/05 8:23:23 AM GMT+5:30,Divya 67,Female,36 to 45,2,Excellent,3 to 4 times a week,I'll become too tired,Swimming;I don't really exercise,With a friend,Evening,30 minutes,Not always,Cost,2,No,Yes,I want to lose weight,8149
2019/07/03 3:32:26 PM GMT+5:30,Kiran 68,Male,15 to 18,5,Good,Everyday,I'll become too tired,I don't really exercise,With a group,Morning,Less than 30 minutes,Not always,Temptation and cravings,5,Yes,No,I want to be fit,11434
2019/07/08 5:11:51 PM GMT+5:30,Kiran 69,Male,15 to 18,3,Good,3 to 4 times a week,I don't have enough time;I'll become too tired,Gym,With a group,Morning,I don't really exercise,Yes,Ease of access to fast food,2,Yes,No,I want to be flexible,8450
2019/07/07 9:49:16 PM GMT+5:30,Parkavi 70,Female,26 to 35,3,Excellent,3 to 4 times a week,I'm not interested;I don't have enough time,Walking or jogging,I don't really exercise,Afternoon,I don't really exercise,No,Ease of access to fast food,2,No,No,I want to be fit,7302
2019/07/07 10:12:14 PM GMT+5:30,Kiran 71,Male,15 to 18,5,Unfit,3 to 4 times a week,I don't have enough time;I'll become too tired,Cycling,Alone,Morning,Less than 30 minutes,No,Lack of time,2,No,Yes,I'm not really interested in exercising;I want to be fit,9259
2019/07/06 6:1:20 PM GMT+5:30,Rahul 72,Female,19 to 25,1,Excellent,1 to 2 times a week,I'm not interested,Cycling,Alone,Afternoon,I don't really exercise,Not always,Lack of time,5,Yes,Yes,I'm not really interested in exercising,6757
2019/07/03 6:57:31 AM GMT+5:30,Parkavi 73,Female,26 to 35,1,Good,1 to 2 times a week,I'll become too tired;I'm not interested,I don't really exercise;Cycling,With a friend,Morning,I don't really exercise,No,Lack of time,1,No,Yes,I want to be fit;I want to be flexible,4988
2019/07/05 2:58:31 AM GMT+5:30,Karunya v 74,Male,26 to 35,5,Fair,3 to 4 times a week,I don't have enough time,Walking or jogging;Lifting weights,Alone,Evening,1 hour,No,Lack of time,5,No,Yes,I'm not really interested in exercising,10360
2019/07/07 10:31:34 AM GMT+5:30,Karunya v 75,Female,19 to 25,5,Very good,1 to 2 times a week,I'll become too tired;I can't stay motivated,Walking or jogging,With a friend,Evening,More than 1 hour,Yes,Ease of access to fast food,1,No,Yes,I want to lose weight,8259
2019/07/06 8:42:29 PM GMT+5:30,Kiran 76,Male,19 to 25,1,Excellent,Never,I'll become too tired;I can't stay motivated,Gym;Lifting weights,I don't really exercise,Evening,More than 1 hour,Not always,Temptation and cravings,1,No,Yes,I want to be flexible;I want to be fit,3157
2019/07/07 11:1:33 AM GMT+5:30,Priya 77,Male,19 to 25,3,Fair,Never,I'll become too tired;I can't stay motivated,Swimming;Cycling,I don't really exercise,Afternoon,More than 1 hour,No,Lack of time,2,No,No,I want to lose weight,6273
2019/07/04 7:9:21 AM GMT+5:30,Divya 78,Female,26 to 35,3,Very good,Everyday,I don't have enough time;I'm not interested,Walking or jogging;Gym,With a group,Morning,Less than 30 minutes,Not always,Cost,4,Yes,No,I want to be flexible;I want to lose weight,11796
2019/07/05 11:6:10 PM GMT+5:30,Shreya 79,Female,15 to 18,1,Very good,3 to 4 times a week,I'm not interested;I don't have enough time,I don't really exercise,With a friend,Morning,Less than 30 minutes,No,Temptation and cravings,1,Yes,Yes,I want to lose weight;I want to be flexible,6622
2019/07/04 11:4:6 PM GMT+5:30,Anusha 80,Male,15 to 18,5,Fair,1 to 2 times a week,I can't stay motivated;I'll become too tired,Gym,With a friend,Evening,30 minutes,No,Temptation and cravings,1,No,Yes,I want to be fit;I'm not really interested in exercising,7431
2019/07/06 6:4:37 PM GMT+5:30,Arjun 81,Female,36 to 45,3,Good,Never,I don't have enough time;I can't stay motivated,Lifting weights;Swimming,I don't really exercise,Morning,More than 1 hour,No,Temptation and cravings,2,Yes,Yes,I want to lose weight,7985
2019/07/06 3:26:33 AM GMT+5:30,Sneha 82,Female,36 to 45,4,Excellent,3 to 4 times a week,I'm not interested;I don't have enough time,I don't really exercise;Cycling,With a group,Afternoon,30 minutes,Yes,Temptation and cravings,5,No,No,I want to lose weight,10253
2019/07/08 5:18:17 PM GMT+5:30,Karunya v 83,Female,26 to 35,4,Good,1 to 2 times a week,I don't have enough time,I don't really exercise;Cycling,Alone,Evening,Less than 30 minutes,Yes,Cost,3,No,No,I want to be flexible;I'm not really interested in exercising,10365
2019/07/03 2:35:52 AM GMT+5:30,Manish 84,Male,19 to 25,1,Very good,Everyday,I'll become too tired,Lifting weights;Gym,I don't really exercise,Morning,Less than 30 minutes,No,Ease of access to fast food,1,No,No,I want to be flexible;I'm not really interested in exercising,3009
2019/07/08 5:9:33 PM GMT+5:30,Shreya 85,Male,19 to 25,4,Excellent,Everyday,I don't have enough time;I'm not interested,Gym;I don't really exercise,With a group,Afternoon,More than 1 hour,Yes,Temptation and cravings,3,No,Yes,I want to be flexible,11578
2019/07/04 1:19:51 AM GMT+5:30,Arjun 86,Male,15 to 18,5,Unfit,3 to 4 times a week,I can't stay motivated;I'm not interested,Lifting weights;Cycling,With a friend,Evening,More than 1 hour,Yes,Cost,3,Yes,Yes,I want to be fit;I want to be flexible,13157
2019/07/08 6:9:21 AM GMT+5:30,Karunya v 87,Female,19 to 25,4,Good,Never,I can't stay motivated,Lifting weights;Gym,Alone,Early morning,1 hour,Yes,Cost,4,No,No,I want to lose weight;I want to be flexible,8394
2019/07/06 4:46:17 PM GMT+5:30,Shreya 88,Female,36 to 45,2,Good,1 to 2 times a week,I'll become too tired;I'm not interested,Walking or jogging;Cycling,Alone,Early morning,I don't really exercise,Yes,Ease of access to fast food,3,Yes,Yes,I'm not really interested in exercising;I want to be fit,9210
2019/07/03 6:55:39 PM GMT+5:30,Manish 89,Male,19 to 25,3,Unfit,Everyday,I don't have enough time,I don't really exercise,With a friend,Afternoon,I don't really exercise,Yes,Cost,1,Yes,No,I want to be fit;I want to lose weight,6040
2019/07/04 4:53:32 PM GMT+5:30,Arjun 90,Female,15 to 18,1,Very good,Never,I'll become too tired,Walking or jogging;Lifting weights,Alone,Afternoon,Less than 30 minutes,No,Ease of access to fast food,4,Yes,No,I want to be flexible,6934
2019/07/03 4:28:38 PM GMT+5:30,Divya 91,Female,19 to 25,2,Unfit,Never,I'm not interested;I'll become too tired,I don't really exercise;Lifting weights,With a friend,Afternoon,More than 1 hour,Not always,Temptation and cravings,3,No,No,I'm not really interested in exercising;I want to lose weight,8733
2019/07/08 2:54:55 PM GMT+5:30,Priya 92,Female,26 to 35,2,Fair,1 to 2 times a week,I don't have enough time;I'm not interested,Cycling;I don't really exercise,I don't really exercise,Morning,I don't really exercise,Not always,Ease of access to fast food,1,Yes,Yes,I want to lose weight;I want to be flexible,5006
2019/07/07 6:25:34 PM GMT+5:30,Divya 93,Male,36 to 45,4,Good,3 to 4 times a week,I don't have enough time,Swimming;Gym,I don't really exercise,Early morning,I don't really exercise,No,Ease of access to fast food,3,No,No,I want to be fit,9213
2019/07/03 3:59:22 AM GMT+5:30,Deepak 94,Female,26 to 35,1,Very good,Never,I'll become too tired,Lifting weights,I don't really exercise,Morning,1 hour,Not always,Lack of time,5,Yes,No,I want to lose weight,4614
2019/07/03 8:19:20 AM GMT+5:30,Kiran 95,Female,36 to 45,1,Very good,3 to 4 times a week,I don't have enough time,Cycling;Swimming,I don't really exercise,Afternoon,More than 1 hour,Yes,Temptation and cravings,2,Yes,Yes,I'm not really interested in exercising,2384
2019/07/08 5:59:22 PM GMT+5:30,Nithilaa 96,Female,15 to 18,3,Unfit,Never,I'll become too tired;I don't have enough time,Swimming;Gym,With a friend,Evening,I don't really exercise,Yes,Ease of access to fast food,5,No,No,I want to be flexible,7000
2019/07/07 3:46:56 PM GMT+5:30,Meena 97,Female,15 to 18,1,Unfit,1 to 2 times a week,I'm not interested,Cycling;Gym,Alone,Early morning,1 hour,Yes,Ease of access to fast food,3,No,No,I want to be flexible;I want to lose weight,8308
2019/07/07 10:35:13 PM GMT+5:30,Rahul 98,Female,19 to 25,3,Unfit,3 to 4 times a week,I'll become too tired,I don't really exercise,With a group,Morning,I don't really exercise,Yes,Ease of access to fast food,4,No,No,I want to be fit,8522
2019/07/04 7:54:21 PM GMT+5:30,Anusha 99,Male,15 to 18,5,Excellent,3 to 4 times a week,I'm not interested,Swimming,I don't really exercise,Early morning,30 minutes,No,Ease of access to fast food,3,No,Yes,I want to lose weight,10764
2019/07/04 11:9:43 PM GMT+5:30,Arjun 100,Female,19 to 25,1,Good,Never,I don't have enough time;I can't stay motivated,Swimming,With a friend,Afternoon,More than 1 hour,Not always,Cost,5,No,Yes,I want to be fit;I want to lose weight,7334
2019/07/07 8:45:26 AM GMT+5:30,Lakshmi 101,Male,26 to 35,2,Very good,Everyday,I can't stay motivated,Walking or jogging,Alone,Afternoon,I don't really exercise,Yes,Cost,1,Yes,Yes,I want to be flexible;I want to lose weight,5612
2019/07/06 2:6:57 PM GMT+5:30,Divya 102,Female,26 to 35,3,Unfit,Never,I can't stay motivated;I'll become too tired,I don't really exercise,With a group,Afternoon,Less than 30 minutes,Yes,Lack of time,1,No,Yes,I want to be fit,7514
2019/07/05 9:42:36 AM GMT+5:30,Meena 103,Male,26 to 35,5,Very good,1 to 2 times a week,I'll become too tired;I can't stay motivated,Walking or jogging;Swimming,I don't really exercise,Early morning,More than 1 hour,Not always,Lack of time,4,Yes,No,I want to lose weight,10122
2019/07/07 4:24:43 AM GMT+5:30,Lakshmi 104,Male,15 to 18,1,Very good,Everyday,I'll become too tired,Lifting weights,With a group,Morning,More than 1 hour,Not always,Cost,5,No,No,I'm not really interested in exercising;I want to be fit,10340
2019/07/06 8:42:59 PM GMT+5:30,Deepak 105,Female,26 to 35,5,Fair,3 to 4 times a week,I can't stay motivated;I'm not interested,Gym,I don't really exercise,Early morning,30 minutes,Yes,Lack of time,3,No,No,I want to be flexible,10156
